math,language,earn,ethblack,ethhisp,ethwhite,hgc,hgcp,id,l14coun,l14farm,l14town,lgearn,male,pov78,siblings
117,111,14.40000022,0,0,1,12,19,4808,0,0,1,2.667228222,1,0,7
86,79,12.6900015,0,0,1,12,24,1278,0,0,1,2.5408144,1,0,5
110,81,30.00000155,0,0,1,12,28,4630,0,0,1,3.401197433,1,0,1
84,98,12.00000028,0,0,1,12,24,2852,1,0,0,2.484906673,1,0,0
118,105,27.87999676,0,0,1,14,27,4699,0,0,1,3.32790947,1,0,3
119,107,13.46000082,0,0,1,17,24,12023,0,0,1,2.599722385,1,0,1
108,116,16.24999907,0,0,1,13,28,4687,1,0,0,2.788092852,1,0,1
88,101,3.870000192,0,0,1,12,32,5252,0,0,1,1.353254557,1,0,3
119,99,23.070001,0,0,1,16,35,5334,0,1,0,3.138533115,1,0,2
121,117,16.78000178,0,0,1,14,24,464,0,0,1,2.820187807,1,0,3
60,57,7.349999996,0,0,1,12,21,3622,0,0,1,1.994700313,1,0,1
107,116,16.26999889,0,0,1,16,30,445,1,0,0,2.789322853,1,0,1
95,76,6.04999984,0,0,1,12,26,1557,0,0,1,1.800058246,1,0,3
112,123,75.000006,0,0,1,18,16,4816,0,1,0,4.317488194,1,0,6
76,91,9.13000035,1,0,0,12,24,336,0,0,1,2.211565733,1,0,0
63,62,18.44999934,0,1,0,13,24,5203,0,0,1,2.915064335,1,0,3
80,104,8.000000046,0,0,1,12,24,1248,1,0,0,2.079441547,1,0,1
78,81,10.39999886,0,0,1,12,24,451,0,1,0,2.341805696,1,0,4
123,116,19.22999776,0,0,1,16,24,5226,0,0,1,2.956471443,1,0,3
104,115,6.00000013,0,0,1,12,24,4680,0,0,1,1.791759491,1,0,1
115,97,14.44000128,0,0,1,12,26,4945,0,0,1,2.670002222,1,0,5
75,57,4.249999921,1,0,0,12,24,5617,0,0,1,1.446918964,1,0,4
108,106,14.8999995,0,0,1,16,26,4895,0,0,1,2.701361179,1,0,2
103,117,21.09999944,0,0,1,12,23,791,0,0,1,3.049273014,1,0,2
107,114,5.00000015,0,0,1,12,24,2576,0,1,0,1.609437943,1,#?/?,5
98,71,17.34999808,0,1,0,11,8,3264,0,0,1,2.853592396,1,0,5
63,66,15.38000039,0,0,1,15,27,2593,0,0,1,2.733067989,1,1,1
89,100,21.02999887,0,0,1,12,24,951,1,0,0,3.045949936,1,0,3
115,109,23.65000244,0,0,1,17,30,4607,0,0,1,3.163363218,1,1,3
120,117,14.47000167,0,0,1,18,28,11998,0,0,1,2.672077656,1,0,1
98,113,16.82000001,0,0,1,12,16,434,0,0,1,2.822568655,1,0,4
103,111,9.499999556,0,0,1,12,17,12039,1,0,0,2.251291752,1,1,1
100,105,9.580000542,0,0,1,14,32,4813,0,0,1,2.259677649,1,0,1
86,77,10.00000032,0,0,1,12,22,484,0,0,1,2.302585125,1,0,4
105,101,10.85999982,0,0,1,12,26,747,0,0,1,2.385086298,1,0,1
126,123,16.82000001,0,0,1,16,24,6,0,0,1,2.822568655,1,0,1
114,101,5.00000015,0,0,1,12,26,1796,0,0,1,1.609437943,1,0,3
81,81,11.15999906,0,0,1,13,15,1992,0,0,1,2.412335873,1,0,4
124,112,15.38000039,0,0,1,13,28,4307,0,0,1,2.733067989,1,0,1
85,50,6.989999875,0,0,1,12,20,2561,0,0,1,1.944480538,1,0,3
103,97,13.10000073,0,0,1,12,24,4755,1,0,0,2.572612286,1,0,3
106,110,13.62000086,0,0,1,15,25,1039,0,0,1,2.611539364,0,0,3
81,78,10.57000031,0,0,1,11,18,1725,0,0,1,2.358019829,0,0,4
109,107,9.61000045,0,0,1,13,21,1494,0,0,1,2.26280427,0,0,3
105,104,6.339999991,0,0,1,12,21,2810,1,0,0,1.846878767,0,0,3
101,117,7.049999924,0,0,1,17,24,4232,0,0,1,1.953027606,0,0,7
77,105,6.750000376,0,0,1,12,28,12120,0,0,1,1.909542561,0,#?/?,1
113,105,8.870000785,1,0,0,16,15,1195,1,0,0,2.182674885,0,0,1
85,82,17.85000067,0,0,1,12,24,38,0,0,1,2.882003546,0,0,4
118,113,14.00000096,0,0,1,12,24,4097,1,0,0,2.639057398,0,0,2
101,88,8.390000874,0,0,1,14,17,5135,1,0,0,2.127040625,0,0,4
99,89,6.00000013,1,0,0,12,10,5536,0,0,1,1.791759491,0,1,11
123,109,26.15000178,0,0,1,16,23,4353,0,0,1,3.263849258,0,0,0
82,76,4.350000075,1,0,0,10,14,1206,0,0,1,1.470175862,0,1,7
84,79,9.030000868,1,0,0,12,24,2270,0,0,1,2.200552464,0,0,3
83,57,5.249999806,1,0,0,12,25,3317,0,0,1,1.65822804,0,0,5
77,73,5.499999682,0,0,1,12,24,4305,0,0,1,1.704748034,0,0,2
120,106,8.650000639,0,0,1,16,26,3618,0,0,1,2.157559395,0,0,5
67,57,3.00000006,0,1,0,9,19,1419,1,0,0,1.098612309,0,0,2
128,111,14.28000016,0,0,1,16,30,72,0,0,1,2.658859968,0,0,2
94,109,7.300000296,0,0,1,12,22,4929,0,0,1,1.987874389,0,0,1
124,119,31.2500027,0,0,1,19,35,12063,0,0,1,3.442019463,0,0,1
82,105,13.6600008,0,0,1,12,30,875,0,0,1,2.614471912,0,0,6
83,85,8.050000392,0,1,0,15,8,2656,0,0,1,2.08567214,0,1,6
89,85,7.840000598,0,1,0,12,14,1838,0,0,1,2.059238911,0,0,3
116,109,18.26000074,0,0,1,14,26,2856,1,0,0,2.904712915,0,0,6
107,115,23.429999,0,0,1,15,24,4976,0,0,1,3.15401721,0,0,2
115,97,12.24999866,0,0,1,14,24,2132,1,0,0,2.505525827,0,0,1
87,98,7.200000097,0,0,1,12,23,446,0,0,1,1.974081039,0,0,2
101,99,8.719999102,1,0,0,12,23,2214,1,0,0,2.165619135,0,0,3
55,60,5.00000015,0,0,1,10,15,536,0,0,1,1.609437943,0,0,9
91,97,6.50000022,0,0,1,12,15,11953,1,0,0,1.871802211,0,0,4
100,102,7.250000199,0,0,1,13,24,857,0,0,1,1.981001496,0,0,4
101,123,7.50000036,1,0,0,17,28,3238,0,0,1,2.014903069,0,0,2
115,99,6.00000013,0,0,1,12,27,1778,0,0,1,1.791759491,0,0,3
116,118,15.11000076,0,0,1,18,29,3911,1,0,0,2.715356827,0,0,2
126,116,14.38999927,0,0,1,12,24,105,0,0,1,2.66653347,0,0,0
120,122,11.6200005,0,0,1,16,20,264,0,0,1,2.452727795,0,0,2
111,110,9.13000035,0,0,1,12,24,1179,0,0,1,2.211565733,0,1,2
84,100,9.000000357,0,0,1,12,24,474,0,0,1,2.197224617,0,#?/?,4
102,110,12.99999892,0,0,1,14,28,5673,0,0,1,2.564949274,0,0,3
93,120,7.900000491,0,0,1,12,28,1571,0,0,1,2.066862822,0,0,4
109,108,12.01000086,1,0,0,15,24,4174,0,0,1,2.485739708,0,0,5
77,86,4.799999978,1,0,0,12,24,4173,0,0,1,1.568615913,0,0,6
74,87,4.749999769,1,0,0,13,17,1207,0,0,1,1.558144569,0,#?/?,9
105,120,5.00000015,0,0,1,16,30,3889,0,0,1,1.609437943,0,0,1
89,120,13.5800015,0,0,1,17,34,1086,0,0,1,2.608598232,0,0,2
108,103,17.77999892,0,0,1,16,24,2889,0,0,1,2.878074169,0,#?/?,2
109,116,8.000000046,0,0,1,13,21,2834,0,0,1,2.079441547,0,0,3
71,76,8.910000702,1,0,0,16,24,1286,0,0,1,2.18717432,0,0,2
99,115,13.51000161,1,0,0,12,17,386,0,0,1,2.603430271,0,0,4
94,115,6.399999868,0,0,1,12,16,2282,0,0,1,1.85629797,0,0,1
111,97,11.65999931,0,0,1,12,18,703,0,0,1,2.456164122,0,0,5
86,100,20.86999901,0,1,0,12,18,11786,0,0,1,3.038312674,0,0,2
126,111,21.62999876,0,0,1,16,31,3711,0,1,0,3.074081182,0,#?/?,4
105,116,3.499999808,0,0,1,18,24,4870,0,0,1,1.252762914,0,0,2
125,119,12.37000124,0,0,1,13,30,3432,0,0,1,2.515274286,0,0,2
69,82,8.300000058,0,0,1,9,21,11834,0,0,1,2.116255522,0,0,4
85,69,11.0000007,0,1,0,15,26,1666,0,0,1,2.397895336,0,0,5
68,66,6.99999963,1,0,0,12,15,382,0,0,1,1.945910096,0,1,5
83,99,7.749999476,0,0,1,12,19,289,0,0,1,2.047692776,0,0,4
107,96,10.39000115,0,0,1,12,22,3113,0,0,1,2.340843916,0,0,4
88,73,10.82000022,0,1,0,14,24,2387,0,0,1,2.381396294,0,0,2
124,119,23.24999889,0,0,1,16,31,3368,0,0,1,3.146305084,0,#?/?,4
80,84,5.00000015,0,0,1,12,22,2808,0,0,1,1.609437943,0,0,1
82,76,7.530000809,1,0,0,12,22,1074,0,0,1,2.018895149,0,1,3
119,115,9.720000379,0,0,1,16,24,22,0,0,1,2.274185658,0,0,1
126,114,11.52999902,0,0,1,17,26,4686,1,0,0,2.44495225,0,0,1
107,110,9.000000357,0,0,1,16,32,2503,1,0,0,2.197224617,0,#?/?,2
110,110,14.10999944,0,0,1,14,20,5428,0,1,0,2.646883726,0,0,4
63,73,8.000000046,1,0,0,15,22,839,0,0,1,2.079441547,0,0,1
116,106,12.98000122,0,0,1,17,26,3558,0,0,1,2.563409805,0,0,3
111,119,11.0000007,0,0,1,12,23,244,0,0,1,2.397895336,0,0,4
98,104,12.99000087,0,0,1,13,24,35,1,0,0,2.564179897,0,0,5
97,82,11.06999949,0,0,1,12,21,964,0,0,1,2.404238701,0,0,3
119,118,11.14999912,0,0,1,16,32,3677,0,0,1,2.411439419,0,0,5
121,118,24.02999714,0,0,1,18,24,186,0,0,1,3.179302931,0,0,2
103,112,14.19000132,0,0,1,12,20,4487,0,0,1,2.652537584,0,0,2
95,72,20.08000187,1,0,0,17,34,11961,0,0,1,2.999724388,0,0,2
97,114,10.00000032,0,0,1,15,17,1976,1,0,0,2.302585125,0,0,6
101,105,4.050000184,0,0,1,12,25,2289,0,0,1,1.398716927,0,0,2
110,97,19.22999776,0,0,1,16,25,11868,0,0,1,2.956471443,0,0,1
108,105,24.02999714,0,0,1,16,32,2292,0,0,1,3.179302931,0,0,4
127,116,21.96999834,0,0,1,17,34,2290,0,0,1,3.089677811,0,0,1
73,73,9.000000357,0,0,1,10,20,12135,0,0,1,2.197224617,0,1,4
120,116,16.95000123,0,0,1,12,21,3098,0,0,1,2.830267906,0,#?/?,5
84,65,8.000000046,0,1,0,13,0,2645,0,1,0,2.079441547,0,0,4
126,112,10.00000032,0,0,1,12,34,28,0,0,1,2.302585125,0,0,1
92,98,6.149999659,0,0,1,12,14,5524,1,0,0,1.816452026,0,0,1
77,85,8.369999429,1,0,0,16,23,5485,0,0,1,2.124653816,0,1,5
101,105,16.20999973,0,0,1,14,30,4465,0,0,1,2.785628319,0,0,7
83,63,7.100000181,0,0,1,12,19,5550,1,0,0,1.96009481,0,0,2
121,120,11.10999882,0,0,1,16,23,4280,0,0,1,2.407845497,0,0,1
103,113,9.61000045,0,0,1,12,20,1423,1,0,0,2.26280427,0,0,3
60,64,8.450000319,1,0,0,12,24,4175,0,0,1,2.134166479,0,0,5
105,113,6.99999963,0,0,1,13,24,3606,0,0,1,1.945910096,0,0,3
97,99,11.75000139,0,0,1,12,22,460,0,0,1,2.463853359,0,0,0
123,119,14.00000096,0,0,1,14,25,3424,0,0,1,2.639057398,0,1,4
111,108,7.579999792,0,0,1,14,24,5104,0,0,1,2.025513172,0,0,4
114,120,23.070001,0,0,1,18,36,4754,0,0,1,3.138533115,0,1,1
107,115,4.339999742,0,0,1,12,28,5317,0,0,1,1.467874289,0,0,4
91,113,12.86999943,0,0,1,12,21,2407,0,0,1,2.554898977,0,0,2
98,100,5.950000105,0,0,1,12,22,5275,1,0,0,1.783391237,0,1,3
106,107,8.540000664,0,0,1,12,20,5262,0,0,1,2.144761086,0,0,5
82,98,13.50000078,0,0,1,13,23,5256,0,0,1,2.602689743,0,0,4
101,116,14.60999948,0,0,1,17,32,1858,0,0,1,2.68170619,0,0,5
89,88,5.00000015,0,0,1,11,24,5209,0,0,1,1.609437943,0,0,3
113,111,4.060000144,0,0,1,17,36,5001,0,0,1,1.401183009,0,0,4
108,111,3.240000062,0,1,0,12,22,4645,0,0,1,1.175573349,0,0,2
126,123,14.41999891,0,0,1,14,28,61,0,0,1,2.668616056,0,0,3
95,95,10.57000031,0,1,0,12,22,1534,0,0,1,2.358019829,0,0,9
105,119,12.00000028,0,0,1,14,29,4039,0,1,0,2.484906673,0,#?/?,3
126,115,34.61000226,0,0,1,19,18,752,0,0,1,3.544142723,0,0,2
115,118,28.83999788,0,0,1,14,24,2872,0,0,1,3.361763239,0,0,3
103,106,6.139999743,0,0,1,13,24,4150,0,0,1,1.8148247,0,0,3
87,109,10.00000032,0,0,1,14,29,3249,1,0,0,2.302585125,0,0,1
112,107,12.99000087,0,0,1,13,21,500,0,0,1,2.564179897,0,0,4
119,85,10.05999882,0,0,1,17,24,249,0,0,1,2.308567047,0,1,4
101,108,7.819999527,0,0,1,13,26,4924,0,0,1,2.056684494,0,0,2
97,115,8.499999859,0,0,1,12,26,2559,0,0,1,2.140066147,0,1,1
86,101,9.809999322,1,0,0,12,22,3076,0,0,1,2.283402205,0,0,3
88,103,4.699999865,0,0,1,12,20,3929,0,0,1,1.54756248,0,0,4
123,115,8.630000723,0,0,1,12,24,2435,0,0,1,2.155244589,0,0,2
76,69,12.99999892,1,0,0,14,10,3978,0,0,1,2.564949274,0,0,5
108,113,12.50000073,0,0,1,16,25,3626,0,0,1,2.525728703,0,0,2
71,81,10.39999886,0,0,1,16,16,2730,0,1,0,2.341805696,0,0,5
126,123,5.00000015,0,0,1,13,20,3041,0,0,1,1.609437943,0,1,1
119,122,20.43000166,0,0,1,17,30,11966,0,0,1,3.01700449,0,0,1
123,105,12.01000086,0,0,1,12,21,12000,1,0,0,2.485739708,0,0,3
96,64,5.319999794,0,0,1,12,21,2070,0,0,1,1.671473265,0,0,3
111,116,8.000000046,0,0,1,13,16,1876,0,0,1,2.079441547,0,0,1
117,106,8.110000463,0,0,1,12,18,5575,1,0,0,2.093097925,0,0,5
110,116,18.46999842,0,0,1,20,34,657,0,0,1,2.916147709,0,0,1
89,105,19.38999948,0,0,1,12,21,963,0,0,1,2.964757442,0,0,3
103,100,10.50000088,0,0,1,12,24,3231,1,0,0,2.351375341,0,0,12
79,71,6.250000352,0,0,1,11,19,4733,0,0,1,1.83258152,0,0,5
104,90,5.499999682,0,0,1,12,24,5110,0,0,1,1.704748034,0,0,2
98,117,15.00000075,0,0,1,16,34,4287,0,0,1,2.708050251,0,#?/?,2
111,106,6.50000022,0,0,1,12,24,4077,0,0,1,1.871802211,0,0,4
128,123,20.9099979,0,0,1,16,30,2987,0,0,1,3.040227413,0,0,1
104,116,11.85000095,0,0,1,16,26,2245,0,0,1,2.472327948,0,0,2
109,107,8.130000845,0,0,1,12,17,2580,1,0,0,2.095561028,0,0,1
100,107,8.650000639,0,0,1,16,32,3687,0,0,1,2.157559395,0,0,7
94,82,15.68000123,0,0,1,14,23,1004,0,0,1,2.752386093,0,0,2
103,115,6.99999963,0,0,1,12,30,1507,0,0,1,1.945910096,0,0,3
98,112,3.329999963,0,0,1,15,34,5199,0,0,1,1.202972293,0,0,5
102,100,7.790000687,0,0,1,14,30,5037,0,0,1,2.052840948,0,0,2
115,117,16.05999927,0,0,1,16,24,5120,0,0,1,2.776331663,0,0,4
92,98,13.78000045,0,0,1,12,23,12097,0,0,1,2.623218298,0,0,5
71,62,3.770000012,0,0,1,9,15,1244,0,0,1,1.327075005,0,1,8
71,66,8.669999362,1,0,0,9,18,2251,0,0,1,2.159868717,0,1,8
97,115,10.24999954,0,0,1,12,20,5473,0,0,1,2.32727766,0,0,2
115,115,7.749999476,0,0,1,14,16,3496,1,0,0,2.047692776,0,0,4
100,116,3.100000073,0,0,1,12,25,4817,0,0,1,1.131402135,0,0,1
110,120,7.210000302,0,0,1,16,32,3922,0,0,1,1.975468993,0,0,3
89,67,5.259999742,0,0,1,11,24,3740,0,0,1,1.660130978,0,0,3
85,100,4.50000017,0,0,1,11,20,112,0,0,1,1.504077435,0,0,3
93,65,4.249999921,0,0,1,11,24,1242,0,0,1,1.446918964,0,#?/?,3
120,110,12.39999886,0,0,1,17,22,2126,1,0,0,2.517696381,0,1,4
90,97,10.71999921,0,0,1,12,14,1495,1,0,0,2.372111082,0,0,3
126,118,25.47999972,0,0,1,19,24,3836,0,0,1,3.23789382,0,0,3
104,98,12.9600003,0,0,1,12,18,982,0,0,1,2.561867714,0,#?/?,5
85,101,6.250000352,0,0,1,12,20,3480,0,0,1,1.83258152,0,0,5
117,109,10.57000031,0,0,1,14,18,3773,0,0,1,2.358019829,0,0,5
95,95,5.4299999,0,0,1,12,24,1617,0,0,1,1.691939116,0,0,1
113,107,7.250000199,0,0,1,12,22,3079,1,0,0,1.981001496,0,0,6
100,112,3.00000006,0,0,1,12,21,2615,0,0,1,1.098612309,0,0,3
77,107,9.170000823,1,0,0,12,14,1519,0,0,1,2.215937376,0,0,5
122,120,40.1999989,0,0,1,17,32,2901,0,0,1,3.693866968,0,0,2
84,110,8.260000801,0,0,1,12,21,12083,0,0,1,2.111424685,0,0,3
128,118,10.73999946,0,0,1,12,19,254,0,0,1,2.373975039,0,0,4
123,111,13.84000069,0,0,1,16,24,5393,0,1,0,2.627563,0,0,1
112,110,10.89999916,0,0,1,12,24,4600,0,0,1,2.388762712,0,0,2
83,87,8.000000046,0,0,1,12,13,2722,1,0,0,2.079441547,0,#?/?,3
121,118,15.38000039,0,0,1,15,22,4987,0,0,1,2.733067989,0,0,3
78,70,6.00000013,0,0,1,10,17,11818,1,0,0,1.791759491,0,1,2
107,108,7.50000036,0,0,1,12,9,2818,1,0,0,2.014903069,0,0,12
115,119,9.36999971,0,0,1,18,31,2237,1,0,0,2.237513065,0,0,2
103,95,6.99999963,0,0,1,12,28,2436,0,0,1,1.945910096,0,0,6
94,108,9.499999556,0,0,1,12,24,972,1,0,0,2.251291752,0,0,4
92,121,12.39000142,0,0,1,13,32,3421,0,0,1,2.516889811,0,0,4
117,107,15.85999886,0,0,1,16,24,4795,0,0,1,2.763800144,0,0,2
100,100,13.98000144,0,0,1,17,20,3800,0,0,1,2.63762784,0,0,2
115,116,16.44999863,0,0,1,17,28,2200,1,0,0,2.800325394,0,0,1
98,94,6.659999939,0,0,1,14,24,3350,0,0,1,1.896119475,0,0,6
102,106,12.50000073,0,0,1,12,24,4249,0,0,1,2.525728703,0,0,2
114,116,8.250000655,0,0,1,13,32,3813,0,0,1,2.11021328,0,0,3
79,106,6.00000013,0,0,1,12,21,3057,1,0,0,1.791759491,0,1,3
97,100,15.75000161,0,1,0,16,5,4186,0,0,1,2.756840467,0,1,4
104,103,13.46000082,0,0,1,17,32,1736,0,0,1,2.599722385,0,0,4
91,91,15.85999886,0,0,1,14,21,4499,0,0,1,2.763800144,0,1,4
112,106,8.000000046,0,0,1,13,28,4890,0,0,1,2.079441547,0,0,3
105,104,9.219999548,0,0,1,12,23,2738,1,0,0,2.221374989,0,1,3
109,85,9.499999556,0,0,1,14,22,3091,1,0,0,2.251291752,0,0,1
115,115,13.59000003,0,0,1,16,28,3085,1,0,0,2.60933423,0,0,2
93,86,14.78000088,0,0,1,13,24,4475,0,0,1,2.693274975,0,0,5
91,85,8.889999441,0,0,1,12,27,3900,0,0,1,2.184926987,0,0,6
105,113,12.59000136,0,0,1,16,28,2124,0,0,1,2.532902956,0,0,3
116,109,11.20999982,0,0,1,16,24,3378,0,0,1,2.416806221,0,0,2
94,97,9.499999556,0,0,1,12,19,1306,0,0,1,2.251291752,0,#?/?,2
104,81,20.1900016,1,0,0,16,24,3953,0,0,1,3.005187511,0,1,6
106,112,11.02999954,0,0,1,14,24,4292,0,0,1,2.400618792,0,0,3
114,111,13.82999957,0,0,1,15,19,12096,0,0,1,2.626840115,0,0,0
127,115,35.24999648,0,0,1,20,24,1880,0,0,1,3.562465429,0,0,2
116,120,11.25000074,0,0,1,16,32,344,0,0,1,2.420368195,0,0,0
75,85,5.78000016,0,0,1,14,24,5340,0,0,1,1.75440371,0,0,3
127,119,8.000000046,0,0,1,14,26,258,0,0,1,2.079441547,0,0,3
110,120,6.250000352,0,0,1,15,25,12001,0,1,0,1.83258152,0,0,5
88,83,5.350000238,0,0,1,13,24,4844,0,0,1,1.677096605,0,0,1
91,112,16.05000103,0,0,1,14,32,4252,0,0,1,2.775708914,0,0,3
98,90,10.57000031,0,0,1,13,13,2746,1,0,0,2.358019829,0,0,1
107,114,12.99999892,0,0,1,13,24,3459,0,0,1,2.564949274,0,0,2
120,96,7.50000036,0,0,1,12,21,2736,1,0,0,2.014903069,0,0,1
89,73,7.979999835,0,0,1,12,20,5609,1,0,0,2.076938391,0,0,1
81,112,10.20999963,0,0,1,12,26,3537,0,0,1,2.323367596,0,0,4
126,118,19.72999966,0,0,1,16,31,369,0,0,1,2.982140303,0,0,1
108,108,10.14999944,0,0,1,15,19,2204,1,0,0,2.31747365,0,0,3
101,118,10.71000029,0,0,1,12,21,4050,0,0,1,2.371177912,0,0,2
71,51,5.499999682,0,0,1,8,16,11814,0,0,1,1.704748034,0,0,4
71,104,7.090000408,0,1,0,12,18,2651,0,1,0,1.958685398,0,1,8
101,105,9.13000035,0,1,0,13,24,4319,0,0,1,2.211565733,0,0,4
126,112,37.97999936,0,0,1,16,29,137,0,0,1,3.637059689,0,0,4
113,111,11.35000081,0,0,1,16,28,4296,0,0,1,2.429217815,0,0,4
95,89,7.50000036,0,0,1,12,24,4378,0,0,1,2.014903069,0,0,3
93,100,5.040000241,0,0,1,12,20,2450,1,0,0,1.61740613,0,0,5
117,113,10.57000031,0,0,1,12,19,5422,0,0,1,2.358019829,0,0,4
85,108,19.47999899,0,0,1,16,24,3291,0,0,1,2.969388247,0,0,2
83,97,6.99999963,0,0,1,12,24,2408,0,0,1,1.945910096,0,0,2
119,111,19.22999776,0,0,1,15,30,1104,0,0,1,2.956471443,0,0,4
116,120,18.80000177,1,0,0,14,30,11777,0,0,1,2.933856964,0,0,2
89,95,8.930000122,0,0,1,12,24,3134,1,0,0,2.189416409,0,0,3
118,121,7.210000302,0,0,1,12,25,12027,0,0,1,1.975468993,0,0,2
114,91,7.700000752,0,0,1,14,25,2205,1,0,0,2.041220427,0,0,3
102,116,18.180002,0,0,1,16,33,1139,0,0,1,2.900322199,0,0,6
91,120,24.02999714,0,0,1,15,25,2155,0,0,1,3.179302931,0,0,2
102,94,4.249999921,0,0,1,12,16,2153,0,0,1,1.446918964,0,0,6
102,115,5.00000015,0,0,1,12,23,2146,0,0,1,1.609437943,0,0,0
100,104,7.50000036,0,0,1,12,20,2130,0,0,1,2.014903069,0,#?/?,3
88,93,10.14999944,0,0,1,12,20,1769,1,0,0,2.31747365,0,0,1
97,110,9.359999046,0,0,1,13,20,2103,0,1,0,2.236445189,0,0,8
116,111,7.979999835,0,0,1,12,32,2119,0,0,1,2.076938391,0,0,9
84,90,12.00000028,0,0,1,12,24,2114,0,0,1,2.484906673,0,0,2
92,88,18.02000182,1,0,0,16,22,3952,0,0,1,2.891482353,0,1,6
97,120,7.250000199,0,0,1,12,23,5712,1,0,0,1.981001496,0,0,1
98,108,6.50000022,0,0,1,12,24,5195,0,0,1,1.871802211,0,0,1
124,107,56.2500054,0,0,1,17,24,4570,0,0,1,4.029806137,0,0,9
